"Manufacturer Part Number","Manufacturer","Digi-Key Part Number","Customer Reference","Quantity","Description"
"FAN5333ASX","ON Semiconductor","FAN5333ASXCT-ND","U1","1","IC LED DRIVER RGLTR DIM SOT23-5"
"BAT54LT1G","ON Semiconductor","BAT54LT1GOSCT-ND","D1","1","DIODE SCHOTTKY 30V 200MA SOT23-3"
"LQH43PN100M26L","Murata Electronics North America","490-12780-1-ND","L1","1","FIXED IND 10UH 1.17A 147 MOHM"
"BZX84C12LT1G","ON Semiconductor","BZX84C12LT1GOSCT-ND","D2","1","DIODE ZENER 12V 250MW SOT23-3"
"GRT188R61H105KE13D","Murata Electronics North America","490-12330-1-ND","C2","1","CAP CER 1UF 50V X5R 0603"
"BC2AAPC","MPD (Memory Protection Devices)","BC2AAPC-ND","J1","1","BATTERY HOLDER AA 2 CELL PC PIN"
"CFM-4010V-150-157","CUI Inc.","102-4632-ND","J2","1","FAN AXIAL 40X10MM 12VDC WIRE"
"MCP6541T-I/OT","Microchip Technology","MCP6541T-I/OTCT-ND","U2","1","IC COMP PUSHPLL 1.6V SGL SOT23-5"
"GRM21BR61E226ME44L","Murata Electronics North America","490-10749-1-ND","C3","1","CAP CER 22UF 25V X5R 0805"
"ERJ-3GEYK226V","Panasonic Electronic Components","P22MGCT-ND","R2 - R4","4","RES SMD 22M OHM 10% 1/10W 0603"
"GRM188R60J106KE47D","Murata Electronics North America","490-12538-1-ND","C1","1","CAP CER 10UF 6.3V X5R 0603"
"PTS645SM43SMTR92 LFS","C&K","CKN9112CT-ND","SW1","1","SWITCH TACTILE SPST-NO 0.05A 12V"
"ERJ-3RQF8R2V","Panasonic Electronic Components","P8.2AJCT-ND","R1","1","RES SMD 8.2 OHM 1% 1/10W 0603"
